147,Macklemore,"1,317,551,331"
148,Rae Sremmurd,"1,316,897,142"
149,John Legend,"1,316,487,516"
150,2 Chainz,"1,300,795,148"
151,Julia Michaels,"1,299,047,257"
152,Matheus & Kauan,"1,297,848,578"
153,Bryson Tiller,"1,274,802,973"
154,Dalex,"1,266,684,719"
155,Normani,"1,246,896,404"
156,Mark Ronson,"1,246,011,170"
157,Justin Quiles,"1,245,381,214"
158,Lukas Graham,"1,245,377,947"
159,Arcangel,"1,243,209,555"
160,DaBaby,"1,242,365,845"
161,Felix Jaehn,"1,241,942,361"
162,Romeo Santos,"1,236,638,142"
163,Danny Ocean,"1,235,767,677"
164,Justin Timberlake,"1,225,288,473"
165,Lil Yachty,"1,218,134,997"
166,Zé Neto & Cristiano,"1,217,389,712"
167,Wiz Khalifa,"1,208,161,599"
168,Beyoncé,"1,201,942,099"
169,benny blanco,"1,182,898,864"
170,Miley Cyrus,"1,181,691,804"
171,Tove Lo,"1,178,217,930"
172,Panic! At The Disco,"1,173,512,220"
173,Troye Sivan,"1,144,177,985"
174,Bonez MC,"1,127,069,748"
175,Brytiago,"1,122,075,106"
176,One Direction,"1,109,913,413"
177,Jonas Brothers,"1,096,032,797"
178,BTS,"1,089,031,766"
179,Ninho,"1,082,942,809"
180,Ava Max,"1,069,892,552"
181,Little Mix,"1,061,448,039"
182,Meek Mill,"1,054,949,229"
183,Alesso,"1,049,353,814"
184,Sfera Ebbasta,"1,047,717,918"
185,MC Kevinho,"1,022,644,497"
186,Bradley Cooper,"1,022,164,001"
187,Henrique & Juliano,"1,009,694,419"
188,Wesley Safadão,"1,009,503,929"
189,Mau y Ricky,"1,000,055,844"
190,Willy William,"994,561,554"
191,Tainy,"988,923,523"
192,Lunay,"988,619,845"
193,Liam Payne,"980,705,834"
194,Flo Rida,"952,710,326"
195,CNCO,"947,551,047"
196,Pedro Capó,"945,539,393"
197,Harry Styles,"943,596,400"
198,Tiësto,"940,393,621"
199,Myke Towers,"930,041,700"
200,Galantis,"927,106,801"
201,Mike Posner,"918,050,795"
202,Maiara & Maraisa,"915,966,004"
203,Tones and I,"913,490,870"
204,Juan Magán,"893,169,287"
205,Childish Gambino,"886,023,479"
206,Camilo,"878,365,449"
207,Maren Morris,"874,991,457"
208,Billy Ray Cyrus,"874,021,603"
209,Rudimental,"868,449,265"
210,ROSALÍA,"867,279,649"
211,Lil Tecca,"864,120,849"
212,Prince Royce,"852,104,271"
213,Michael Bublé,"851,175,588"
214,Lizzo,"846,573,965"
215,Desiigner,"842,602,330"
216,Gusttavo Lima,"832,012,830"
217,Lorde,"826,166,949"
218,Iggy Azalea,"816,374,373"
219,George Ezra,"810,327,565"
220,Feid,"807,133,927"
221,Axwell /\ Ingrosso,"806,515,788"
222,BLACKPINK,"798,881,531"
223,OMI,"794,724,648"
224,Skrillex,"792,386,973"
225,Dean Lewis,"781,144,189"
226,Alok,"776,898,917"
227,Cazzu,"775,123,854"
228,Nacho,"774,792,762"
229,Samra,"774,055,713"
230,Rich The Kid,"771,769,117"
231,Khea,"766,073,048"
232,Snow,"763,214,745"
233,Jax Jones,"760,349,833"
234,Macklemore & Ryan Lewis,"758,054,731"
235,Morat,"755,509,170"
236,DNCE,"755,491,229"
237,De La Ghetto,"748,332,621"
238,Tory Lanez,"739,223,987"
239,Niall Horan,"732,640,873"
240,Charli XCX,"730,482,850"
241,Mabel,"729,825,040"
242,Gente De Zona,"727,429,195"
243,Casper Magico,"726,455,504"
244,YNW Melly,"723,543,830"
245,Dynoro,"721,545,006"
246,Ufo361,"718,377,113"
247,Lil Skies,"709,208,090"
248,Carlos Vives,"705,749,904"
249,YG,"703,907,909"
250,Gigi D'Agostino,"700,045,324"
251,Gzuz,"698,888,841"
252,PARTYNEXTDOOR,"695,799,385"
253,Niska,"690,212,295"
254,Kehlani,"688,862,410"
255,Rafa Pabön,"685,132,192"
256,Frenna,"683,037,941"
257,Hozier,"679,893,077"
258,JP Cooper,"678,957,925"
259,Juicy J,"678,465,054"
260,X Ambassadors,"676,023,640"
261,Duki,"675,684,015"
262,Rauw Alejandro,"674,120,843"
263,Lil' Kleine,"671,034,138"
264,Nio Garcia,"669,474,400"
265,NF,"667,668,879"
266,Cosculluela,"655,605,537"
267,Damso,"655,256,252"
268,Ronnie Flex,"655,110,989"
269,Summer Cem,"649,333,313"
270,Boef,"647,023,408"
271,Mariah Carey,"641,743,874"
272,Fuse ODG,"640,151,272"
273,Capo Plaza,"639,318,936"
274,Lost Frequencies,"637,151,127"
275,Kris Kross Amsterdam,"636,726,351"
276,Mustard,"632,864,304"
277,Matoma,"631,484,694"
278,Nyla,"627,460,432"
279,P!nk,"613,029,328"
280,BlocBoy JB,"611,727,088"
281,Jeremih,"608,458,815"
282,KYLE,"602,659,418"
283,Stormzy,"600,040,515"
284,Sandro Cavazza,"598,646,100"
285,Dan + Shay,"598,444,540"
286,Rag'n'Bone Man,"596,956,699"
287,Banda Sinaloense MS de Sergio Lizárraga,"591,199,745"
288,MC Kevin o Chris,"591,185,830"
289,Jessie Reyez,"589,150,464"
290,Salmo,"585,875,950"
