74,Sech - Otro Trago - Remix,23,10,2,(x2),"171,428","1,619,936"
75,Daddy Yankee - Adictiva,59,,12,,"57,970","1,605,325"
76,Nicky Jam - El Amante,73,20,3,(x3),"54,046","1,605,122"
77,Anuel Aa - Sola (Remix),105,,14,,"26,411","1,602,947"
78,J Balvin - QUE PRETENDES,27,12,8,,"76,556","1,594,319"
79,Manuel Turizo - Culpables,75,7,6,,"55,280","1,591,587"
80,Manuel Turizo - Sola,60,,18,,"46,509","1,577,403"
81,Kenny Man - Ni Gucci Ni Prada,70,,19,,"36,142","1,570,335"
82,Ozuna - Se Preparó,76,11,6,,"49,525","1,569,568"
83,6ix9ine - BEBE,48,10,6,,"58,719","1,557,164"
84,IAmChino - Ay Mi Dios,107,18,5,,"30,634","1,553,705"
85,J Balvin - Mi Gente,59,16,1,(x11),"68,998","1,545,048"
86,The Chainsmokers - Closer,127,20,1,(x3),"36,056","1,542,423"
87,Nacho - Báilame - Remix,61,9,6,,"42,975","1,538,297"
88,Manuel Turizo - Esclavo de Tus Besos,46,,12,,"60,204","1,508,342"
89,Charlie Puth - We Don't Talk Anymore,149,2,9,,"21,347","1,502,294"
90,Chino & Nacho - Andas En Mi Cabeza,116,17,4,,"22,767","1,476,618"
91,Maluma - Borro Cassette,151,28,1,(x1),"15,464","1,476,169"
92,Greeicy - Amantes,107,,42,,"21,256","1,473,204"
93,Becky G - Bubalu,53,,13,,"50,433","1,472,186"
94,Anitta - Downtown,62,8,6,,"53,631","1,470,879"
95,Chris Jeday - Ahora Dice,68,15,7,,"39,140","1,461,251"
96,Ed Sheeran - Perfect,130,,42,,"20,988","1,427,191"
97,Dalex - Cuaderno,34,,11,,"58,762","1,420,243"
98,Karol G - Culpables,52,,13,,"47,309","1,404,932"
99,Rombai - Me Voy,66,,20,,"40,841","1,403,703"
100,Ed Sheeran - Photograph,202,,20,,"10,406","1,385,506"
101,Anuel Aa - Quiere Beber,52,7,7,,"60,183","1,367,623"
102,ChocQuibTown - Pa Olvidarte,48,,12,,"59,366","1,350,469"
103,Kevin Roldan - PPP,59,,19,,"37,130","1,338,205"
104,J Balvin - Sigo Extrañándote,71,14,7,,"35,741","1,332,969"
105,Drake - One Dance,92,26,1,(x12),"32,535","1,330,962"
106,Cardi B - I Like It,67,,12,,"38,877","1,329,750"
107,Sebastian Yatra - SUTRA,66,,12,,"43,055","1,326,150"
108,Maluma - El Préstamo,52,13,7,,"53,633","1,321,050"
109,Coldplay - The Scientist,202,,96,,"11,889","1,319,519"
110,Ricky Martin - Vente Pa' Ca,77,16,2,(x3),"38,941","1,314,497"
111,Karol G - Tusa,8,7,1,(x7),"240,207","1,305,514"
112,Shakira - Chantaje,72,22,2,(x1),"41,864","1,304,002"
113,Ozuna - Baila Baila Baila,36,7,7,,"76,116","1,301,240"
114,Wisin & Yandel - Aullando,46,,19,,"43,482","1,293,574"
115,CNCO - Mamita,66,,16,,"38,721","1,293,433"
116,J Balvin - Bonita,58,9,7,,"41,029","1,286,375"
117,Mike Posner - I Took A Pill In Ibiza - Seeb Remix,108,23,1,(x4),"24,168","1,280,551"
118,J Balvin - Safari,75,15,7,,"32,457","1,278,398"
119,Abraham Mateo - Loco Enamorado,67,,13,,"36,256","1,264,247"
120,Sebastian Yatra - Cristina,41,2,8,,"79,267","1,263,132"
121,Paulo Londra - Chica Paranormal,57,,18,,"38,896","1,255,910"
122,Thalía - No Me Acuerdo,53,2,10,,"47,684","1,245,920"
123,J Balvin - Reggaeton,47,,19,,"43,499","1,245,798"
124,Bacilos - Caraluna,166,,117,,"13,452","1,240,422"
125,Wisin - Vacaciones,84,6,8,,"33,659","1,237,293"
126,Daddy Yankee - Dura,40,13,3,(x5),"78,223","1,236,351"
127,Camilo - No Te Vayas,40,,22,,"44,481","1,209,643"
128,Bad Bunny - Amorfoda,41,8,1,(x3),"160,830","1,208,656"
129,Dua Lipa - New Rules,88,,21,,"25,896","1,208,541"
130,Morat - Cuando Nadie Ve,82,,42,,"22,033","1,201,327"
131,Los Angeles Azules - Nunca Es Suficiente,64,,47,,"28,093","1,195,372"
132,Juan Magán - Déjate Llevar,58,1,10,,"52,606","1,190,420"
133,Ed Sheeran - Thinking out Loud,207,24,2,(x1),"8,265","1,185,954"
134,Maroon 5 - Girls Like You,74,,30,,"23,656","1,175,486"
135,Shakira - Clandestino,45,5,8,,"50,415","1,172,520"
136,Morat - Besos En Guerra,113,,59,,"15,103","1,164,478"
137,Paulo Londra - Nena Maldicion,44,,11,,"48,456","1,158,649"
138,Mau y Ricky - La Boca,35,,17,,"50,286","1,157,374"
139,Anuel Aa - Hipócrita,51,,18,,"35,630","1,156,948"
140,Nicky Jam - Si Tú La Ves,77,,14,,"26,540","1,150,883"
141,Valentino - Besame,62,,18,,"32,522","1,143,071"
142,Daddy Yankee - La Rompe Corazones,71,,13,,"25,814","1,142,152"
143,Marshmello - Happier,71,,31,,"34,943","1,141,481"
144,Sech - Solita,44,,25,,"38,691","1,138,560"
145,Rauw Alejandro - Fantasias,17,9,2,(x5),"112,408","1,134,687"
146,Mario Bautista - Baby Girl,65,,27,,"33,728","1,134,121"
147,Carlos Vives - La Bicicleta,91,13,6,,"25,300","1,099,273"
148,Shakira - Perro Fiel,61,6,8,,"49,490","1,089,872"
149,Tainy - Adicto,19,6,9,,"65,803","1,072,258"
150,Sebastian Yatra - Alguien Robo,73,2,10,,"26,802","1,071,636"
151,Ozuna - Síguelo Bailando,48,2,9,,"44,135","1,068,460"
152,Sebastian Yatra - Runaway,28,1,9,,"63,922","1,065,217"
153,Felipe Peláez - Vivo Pensando En Ti,76,,18,,"30,716","1,032,500"
154,Piso 21 - Una Vida Para Recordar,26,,18,,"50,690","1,031,973"
155,Nicky Jam - Atrévete,22,2,10,,"67,063","1,031,173"
156,Ariana Grande - 7 rings,48,,20,,"45,821","1,028,025"
157,Sean Paul - Contra La Pared,39,,20,,"43,609","1,017,155"
158,Myke Towers - Si Se Da,43,,28,,"36,683","1,015,149"
